name,description,url,downloads,owners,owners_urls
botocore,"Low-level, data-driven core of boto 3.",https://pypi.org/project/botocore/,186643843,"aws,garnaat","https://pypi.org/user/aws/,https://pypi.org/user/garnaat/"
requests,Python HTTP for Humans.,https://pypi.org/project/requests/,120659715,"graffatcolmingov,Lukasa,nateprewitt","https://pypi.org/user/graffatcolmingov/,https://pypi.org/user/Lukasa/,https://pypi.org/user/nateprewitt/"
python-dateutil,Extensions to the standard Python datetime module,https://pypi.org/project/python-dateutil/,126951320,"dateutilbot,jarondl,pganssle,tpievila","https://pypi.org/user/dateutilbot/,https://pypi.org/user/jarondl/,https://pypi.org/user/pganssle/,https://pypi.org/user/tpievila/"
s3transfer,An Amazon S3 Transfer Manager,https://pypi.org/project/s3transfer/,149473835,aws,https://pypi.org/user/aws/
awscli,Universal Command Line Environment for AWS.,https://pypi.org/project/awscli/,124220141,"aws,garnaat","https://pypi.org/user/aws/,https://pypi.org/user/garnaat/"
setuptools,"Easily download, build, install, upgrade, and uninstall Python packages",https://pypi.org/project/setuptools/,143313852,"dstufft,ianb,Ivoz,jaraco,jezdez,pje","https://pypi.org/user/dstufft/,https://pypi.org/user/ianb/,https://pypi.org/user/Ivoz/,https://pypi.org/user/jaraco/,https://pypi.org/user/jezdez/,https://pypi.org/user/pje/"
boto3,The AWS SDK for Python,https://pypi.org/project/boto3/,145981815,aws,https://pypi.org/user/aws/
six,Python 2 and 3 compatibility utilities,https://pypi.org/project/six/,141975867,gutworth,https://pypi.org/user/gutworth/
urllib3,"HTTP library with thread-safe connection pooling, file post, and more.",https://pypi.org/project/urllib3/,166258138,"SethMichaelLarson,shazow,urllib3","https://pypi.org/user/SethMichaelLarson/,https://pypi.org/user/shazow/,https://pypi.org/user/urllib3/"
idna,Internationalized Domain Names in Applications (IDNA),https://pypi.org/project/idna/,108144762,kjd,https://pypi.org/user/kjd/
certifi,Python package for providing Mozilla's CA Bundle.,https://pypi.org/project/certifi/,106932801,"alexgaynor,Lukasa","https://pypi.org/user/alexgaynor/,https://pypi.org/user/Lukasa/"
colorama,Cross-platform colored terminal text.,https://pypi.org/project/colorama/,92901197,"tartley,wiggin15","https://pypi.org/user/tartley/,https://pypi.org/user/wiggin15/"
wheel,A built-package format for Python,https://pypi.org/project/wheel/,86591894,"agronholm,joeforker,natefoo","https://pypi.org/user/agronholm/,https://pypi.org/user/joeforker/,https://pypi.org/user/natefoo/"
pyasn1,ASN.1 types and codecs,https://pypi.org/project/pyasn1/,86504336,"etingof,ilya","https://pypi.org/user/etingof/,https://pypi.org/user/ilya/"
rsa,Pure-Python RSA implementation,https://pypi.org/project/rsa/,85014065,sybrenstuvel,https://pypi.org/user/sybrenstuvel/
jmespath,JSON Matching Expressions,https://pypi.org/project/jmespath/,83975719,"aws,jamesls","https://pypi.org/user/aws/,https://pypi.org/user/jamesls/"
typing-extensions,Backported and Experimental Type Hints for Python 3.5+,https://pypi.org/project/typing-extensions/,78542186,"guido,hauntsaninja,ilevkivskyi,JelleZijlstra,jukkal,srittau","https://pypi.org/user/guido/,https://pypi.org/user/hauntsaninja/,https://pypi.org/user/ilevkivskyi/,https://pypi.org/user/JelleZijlstra/,https://pypi.org/user/jukkal/,https://pypi.org/user/srittau/"
pip,The PyPA recommended tool for installing Python packages.,https://pypi.org/project/pip/,78291222,"acsbidoul,dstufft,pf_moore,pradyunsg,uranusjr,xafer","https://pypi.org/user/acsbidoul/,https://pypi.org/user/dstufft/,https://pypi.org/user/pf_moore/,https://pypi.org/user/pradyunsg/,https://pypi.org/user/uranusjr/,https://pypi.org/user/xafer/"
cffi,Foreign Function Interface for Python calling C code.,https://pypi.org/project/cffi/,70954332,"alexgaynor,Armin.Rigo,fijal,glyph,mattclay,nitzmahone,odidev,reaperhulk","https://pypi.org/user/alexgaynor/,https://pypi.org/user/Armin.Rigo/,https://pypi.org/user/fijal/,https://pypi.org/user/glyph/,https://pypi.org/user/mattclay/,https://pypi.org/user/nitzmahone/,https://pypi.org/user/odidev/,https://pypi.org/user/reaperhulk/"
pandas,"Powerful data structures for data analysis, time series, and statistics",https://pypi.org/project/pandas/,82132653,"jbrockmendel,jorisvandenbossche,jreback,jreback1,simonjayhawkins,tomaugspurger,wesm,willayd","https://pypi.org/user/jbrockmendel/,https://pypi.org/user/jorisvandenbossche/,https://pypi.org/user/jreback/,https://pypi.org/user/jreback1/,https://pypi.org/user/simonjayhawkins/,https://pypi.org/user/tomaugspurger/,https://pypi.org/user/wesm/,https://pypi.org/user/willayd/"
packaging,Core utilities for Python packages,https://pypi.org/project/packaging/,70926280,"brettcannon,dstufft,pf_moore,pradyunsg","https://pypi.org/user/brettcannon/,https://pypi.org/user/dstufft/,https://pypi.org/user/pf_moore/,https://pypi.org/user/pradyunsg/"
charset-normalizer,"The Real First Universal Charset Detector. Open, modern and actively maintained alternative to Chardet.",https://pypi.org/project/charset-normalizer/,69527329,Ousret,https://pypi.org/user/Ousret/
importlib-metadata,Read metadata from Python packages,https://pypi.org/project/importlib-metadata/,68469758,"barry,brettcannon,jaraco","https://pypi.org/user/barry/,https://pypi.org/user/brettcannon/,https://pypi.org/user/jaraco/"
numpy,NumPy is the fundamental package for array computing with Python.,https://pypi.org/project/numpy/,79767037,"ahaldane,charlesr.harris,matthew.brett,mattip,rgommers,teoliphant","https://pypi.org/user/ahaldane/,https://pypi.org/user/charlesr.harris/,https://pypi.org/user/matthew.brett/,https://pypi.org/user/mattip/,https://pypi.org/user/rgommers/,https://pypi.org/user/teoliphant/"
PyYAML,YAML parser and emitter for Python,https://pypi.org/project/PyYAML/,109350695,"ingy,nitzmahone,tinita","https://pypi.org/user/ingy/,https://pypi.org/user/nitzmahone/,https://pypi.org/user/tinita/"
protobuf,Protocol Buffers,https://pypi.org/project/protobuf/,63460618,"acozzette,dlj,jhaberman,jieluo,protobuf-packages,teboring,xfxyjwf","https://pypi.org/user/acozzette/,https://pypi.org/user/dlj/,https://pypi.org/user/jhaberman/,https://pypi.org/user/jieluo/,https://pypi.org/user/protobuf-packages/,https://pypi.org/user/teboring/,https://pypi.org/user/xfxyjwf/"
pyparsing,Python parsing module,https://pypi.org/project/pyparsing/,63057851,ptmcg,https://pypi.org/user/ptmcg/
click,Composable command line interface toolkit,https://pypi.org/project/click/,62977583,"alei,davidism,ThiefMaster","https://pypi.org/user/alei/,https://pypi.org/user/davidism/,https://pypi.org/user/ThiefMaster/"
zipp,Backport of pathlib-compatible object wrapper for zip files,https://pypi.org/project/zipp/,61143265,jaraco,https://pypi.org/user/jaraco/
pytz,"World timezone definitions, modern and historical",https://pypi.org/project/pytz/,58570412,stub,https://pypi.org/user/stub/
docutils,Docutils -- Python Documentation Utilities,https://pypi.org/project/docutils/,55524475,"felixwiemann,goodger,grubert","https://pypi.org/user/felixwiemann/,https://pypi.org/user/goodger/,https://pypi.org/user/grubert/"
attrs,Classes Without Boilerplate,https://pypi.org/project/attrs/,57166644,hynek,https://pypi.org/user/hynek/
pycparser,C parser in Python,https://pypi.org/project/pycparser/,55328966,eliben,https://pypi.org/user/eliben/
MarkupSafe,Safely add untrusted strings to HTML/XML markup.,https://pypi.org/project/MarkupSafe/,61384277,"davidism,ThiefMaster","https://pypi.org/user/davidism/,https://pypi.org/user/ThiefMaster/"
